,DASS-21
DASS-21,1.0
HTI,0.3184988569755909
Peak Frequency of HF (Hz),0.27322817783503683
NN50,0.10962262584739069
LF/HF Ratio,0.10875539165639143
HF (n.u),0.09211805710687651
TINN (ms),0.04163178367128488
RMSSD (ms),-0.018561263815428143
SDSD,-0.021284561888215005
SDNN Index (ms),-0.021370660011822147
Resp Rate (BrPm),-0.03285189216386178
SD2,-0.03875893642030836
LF (n.u.),-0.09121384336053713
Peak Frequency of LF (Hz),-0.17726304590721423
SD1,-0.20853381879178653
CVNN,-0.2251611648892019
Skewness of NN Distribution,-0.226679571637049
CVSD,-0.2386894257669728
SD1/SD2,-0.2626409098043062
HR,-0.31575170298341937
TP (ms2),-0.32489861796770697
Vasometric freq (Hz),-0.32904024091309114
pNN50 (%),-0.34196895798715443
TP of HF (ms2),-0.38511140677606304
TP of LF (ms2),-0.41376260717449387
