,,Normal,Ringan,Sedang
HR,mean,92.605,86.3725,84.58277777777778
HR,std,8.177379950640843,3.902660417373424,9.67528495130189
Resp Rate (BrPm),mean,13.70875,16.74,14.726666666666667
Resp Rate (BrPm),std,5.891396723795033,6.467951762343314,4.473682520487753
Vasometric freq (Hz),mean,0.08155,0.045075000000000004,0.057947777777777786
Vasometric freq (Hz),std,0.04204004893296051,0.03994524377194361,0.042635482675894926
SDNN Index (ms),mean,128.42625,140.3125,111.37222222222222
SDNN Index (ms),std,90.91580813941466,127.73127113201373,89.67899114951489
RMSSD (ms),mean,157.82,150.77,137.95166666666668
RMSSD (ms),std,118.4481686525497,138.54141258122064,119.01003952954359
SDSD,mean,159.51,150.945,138.23222222222222
SDSD,std,119.93404437439771,138.6027586305554,119.32319682548567
NN50,mean,124.375,159.75,140.11111111111111
NN50,std,110.89111454807498,60.780342216871404,95.8091785415701
pNN50 (%),mean,29.81,28.0075,10.838299999999998
pNN50 (%),std,25.73875399359606,21.69063296294816,23.312328195664048
HTI,mean,4.31125,6.275,7.051111111111111
HTI,std,2.579426500489706,4.112197303956447,3.003435070418907
TINN (ms),mean,375.28749999999997,302.8625,327.7055555555555
TINN (ms),std,489.5126945895129,328.3296549074827,310.876231116505
CVNN,mean,0.23835625,0.2393,0.1592231666666667
CVNN,std,0.1560389865145887,0.18000485178646342,0.10975820609506098
CVSD,mean,0.29775,0.27123175,0.19323416666666668
CVSD,std,0.2127741861357112,0.2054833891881531,0.15950467570364052
Skewness of NN Distribution,mean,1.2475,0.7950000000000002,0.28055555555555556
Skewness of NN Distribution,std,1.1524477056620461,1.3470337783441066,0.9693203939584634
TP (ms2),mean,0.069593125,0.04278725,0.017961111111111108
TP (ms2),std,0.057329136235892926,0.03780705318125178,0.04411618221161146
TP of LF (ms2),mean,0.0294565,0.00712475,0.0067828888888888895
TP of LF (ms2),std,0.031216832483224728,0.0067296713825168815,0.014273225007144499
TP of HF (ms2),mean,0.032915875,0.00395125,0.009780166666666666
TP of HF (ms2),std,0.02997639854684491,0.0046249871621443445,0.022558742487506854
LF/HF Ratio,mean,1.079975,0.5700000000000001,1.285072888888889
LF/HF Ratio,std,0.6044034951917467,0.30943496893531597,1.0909383563403459
LF (n.u.),mean,0.5449125,0.468175,0.4626619444444445
LF (n.u.),std,0.18249883316652427,0.16132582713254565,0.16914759253889075
HF (n.u),mean,0.455075,0.52355,0.5372658333333333
HF (n.u),std,0.18248519117999687,0.1535997938366672,0.16917115108400793
Peak Frequency of LF (Hz),mean,0.08613749999999999,0.06259375,0.06959588888888889
Peak Frequency of LF (Hz),std,0.03573589382039935,0.0311875,0.027566333780620438
Peak Frequency of HF (Hz),mean,0.166575,0.236,0.21632322222222222
Peak Frequency of HF (Hz),std,0.016446688767912263,0.06395310782127793,0.0757849894236828
SD1,mean,126.78875,99.37,77.13555555555556
SD1,std,98.8828677111749,102.73300962527412,57.245895226308036
SD2,mean,135.29,157.8275,123.22222222222223
SD2,std,71.73429006708417,160.07612217837695,96.89744952362268
SD1/SD2,mean,0.8674999999999999,0.61,0.6388888888888888
SD1/SD2,std,0.4154773502508031,0.11165422816296154,0.18540540283037282
